"State","Pre-election Incumbent","Incumbent Party","Incumbent Running?","Special Election","Primary Date","Primary Completed?","Notable Challengers","Primary Result","Margin","Seat Flipped?","Cook Political Report","Sabato","PVI"
"AL","Tommy Tuberville","Republican","No","No",2026-05-19,"No",NA,NA,NA,NA,"Solid Republican","Safe Republican",NA
"AK","Daniel S. Sullivan","Republican",NA,NA,2026-08-18,"No",NA,NA,NA,NA,"Lean Republican","Likely Republican",NA
"AR","Tom Cotton","Republican",NA,NA,2026-03-03,"Yes",NA,NA,NA,NA,"Solid Republican","Safe Republican",NA
"CO","John Hickenlooper","Democrat",NA,NA,2026-06-30,"No",NA,NA,NA,NA,"Solid Democratic","Safe Democratic",NA
"DE","Chris Coons","Democrat",NA,NA,2026-09-15,"No",NA,NA,NA,NA,"Solid Democratic","Safe Democratic",NA
"GA","Jon Ossoff","Democrat",NA,NA,2026-05-19,"No",NA,NA,NA,NA,"Toss-up","Lean Democratic",NA
"ID","Jim Risch","Republican",NA,NA,2026-05-19,"No",NA,NA,NA,NA,"Solid Republican","Safe Republican",NA
"IL","Dick Durbin","Democrat","Retiring",NA,2026-03-17,"Yes",NA,NA,NA,NA,"Solid Democratic",NA,NA
"IA","Joni Ernst","Republican","Retiring",NA,2026-06-02,"No",NA,NA,NA,NA,"Lean Republican",NA,NA
"KS","Roger Marshall","Repbulican",NA,NA,2026-08-04,"No",NA,NA,NA,NA,"Solid Republican",NA,NA
"KY","Mitch McConnell","Republican","Retiring",NA,2026-05-19,"No",NA,NA,NA,NA,"Solid Republican",NA,NA
"LA","Bill Cassidy","Republican",NA,NA,2026-05-16,"No",NA,NA,NA,NA,"Solid Republican",NA,NA
"ME","Susan Collins","Repbulican",NA,NA,2026-06-09,"No",NA,NA,NA,NA,"Toss-up",NA,NA
"MD","Edward Markey","Democrat",NA,NA,2026-06-23,"No",NA,NA,NA,NA,"Solid Democratic",NA,NA
"MI","Gary Peters","Democrat","Retiring",NA,2026-08-04,"No",NA,NA,NA,NA,"Toss-up",NA,NA
"MN","Tina Smith","Democrat","Retiring",NA,2026-08-11,"No",NA,NA,NA,NA,"Lean Democratic",NA,NA
"MS","Cindy Hyde-Smith","Republican",NA,NA,2026-03-10,"Yes",NA,NA,NA,NA,"Solid Republican",NA,NA
"MT","Steve Daines","Republican","Retiring",NA,2026-06-02,"No",NA,NA,NA,NA,"Solid Republican",NA,NA
"NE","Pete Ricketts","Repbulican",NA,NA,2026-05-12,"No",NA,NA,NA,NA,"Solid Republican",NA,NA
"NH","Jeanne Shaheen","Democrat","Retiring",NA,2026-09-08,"No",NA,NA,NA,NA,"Lean Democratic",NA,NA
"NJ","Cory Booker","Democrat",NA,NA,2026-06-02,"No",NA,NA,NA,NA,"Solid Democratic",NA,NA
"NM","Ben Ray Luján","Democrat",NA,NA,2026-06-02,"No",NA,NA,NA,NA,"Solid Democratic",NA,NA
"NC","Thom Tillis","Republican","Retiring",NA,2026-03-03,"Yes",NA,NA,NA,NA,"Toss-up",NA,NA
"OK","Markwayne Mullin/Alan Armstrong","Republican","No",NA,2026-06-16,"No",NA,NA,NA,NA,"Solid Republican",NA,NA
"OR","Jeff Merkley","Democrat",NA,NA,2026-05-19,"No",NA,NA,NA,NA,"Solid Democratic",NA,NA
"RI","Jack Reed","Democrat",NA,NA,2026-09-08,"No",NA,NA,NA,NA,"Solid Democratic",NA,NA
"SC","Lindsey Graham","Republican",NA,NA,2026-06-09,"No",NA,NA,NA,NA,"Solid Republican",NA,NA
"SD","Mike Rounds","Republican",NA,NA,2026-06-02,"No",NA,NA,NA,NA,"Solid Republican",NA,NA
"TN","Bill Hagerty","Republican",NA,NA,2026-08-06,"No",NA,NA,NA,NA,"Solid Republican",NA,NA
"TX","John Cornyn","Republican",NA,NA,2026-03-03,"Yes",NA,NA,NA,NA,"Lean Republican",NA,NA
"VI","Mark Warner","Democrat",NA,NA,2026-08-04,"No",NA,NA,NA,NA,"Solid Democratic",NA,NA
"WV","Shelley Moore Capito","Republican",NA,NA,2026-05-12,"No",NA,NA,NA,NA,"Solid Republican",NA,NA
"WY","Cynthia Lummis","Republican","Retiring",NA,NA,NA,NA,NA,NA,NA,"Solid Republican",NA,NA
